Time, Sample Temperature, Coil Temperature, AIRQ Temperature, AIRQ Humidity, AIRQ Pressure
12:12:53, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:30, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:31, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:32, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:33, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:34, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:35, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:36, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:37, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:38, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:39, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:40, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:41, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:42, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:43, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:44, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:45, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:46, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:47, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:48, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:49, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:50, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:51, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:52, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:53, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:54, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:55, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:57, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:58, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:13:59, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:14:00, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:14:01, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:14:02, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:14:03, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:14:04, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
12:14:05, Not Enabled, Not Enabled,Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled, Not Enabled
